wiki_bot - 25-08-24 | 15:56:07 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:07 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:07 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Sudan
wiki_bot - 25-08-24 | 15:56:08 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:08 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:08 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:08 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Libya
wiki_bot - 25-08-24 | 15:56:09 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:09 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:09 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:09 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Iran
wiki_bot - 25-08-24 | 15:56:10 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:10 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:10 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:11 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Mongolia
wiki_bot - 25-08-24 | 15:56:11 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:11 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:11 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:12 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Peru
wiki_bot - 25-08-24 | 15:56:12 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:12 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:12 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:13 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Chad
wiki_bot - 25-08-24 | 15:56:13 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:13 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:13 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:13 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Niger
